tracking_timestamp_us,yaw_rads_cpf,pitch_rads_cpf,depth_m,yaw_low_rads_cpf,pitch_low_rads_cpf,yaw_high_rads_cpf,pitch_high_rads_cpf
168531334,0.20801443,-0.16909096,,0.11528243,-0.21203196,0.24042979,-0.12370516
168631334,0.21427768,-0.15600765,,0.1241419,-0.19698417,0.2461142,-0.112186104
168731334,-0.20924045,-0.14962517,,-0.2265497,-0.16895558,-0.18937212,-0.12671866
168831334,-0.25692207,-0.21495819,,-0.37766987,-0.3211142,-0.09643718,-0.165167
168931334,-0.33149624,-0.14642753,,-0.37887377,-0.20812225,-0.22831908,-0.10816993
169031334,-0.40333092,0.05644075,,-0.4285882,0.017536148,-0.33670628,0.08367358
169131334,-0.30363825,0.08754634,,-0.32088983,0.07081114,-0.2847383,0.10756762
169231334,-0.25185555,0.096057855,,-0.26498336,0.08290687,-0.23614156,0.11371595
169331334,-0.21603486,0.10163998,,-0.22916587,0.08765255,-0.20026812,0.11959228
169431334,-0.19967599,0.1721403,,-0.21246932,0.15794455,-0.18487671,0.18788998
169531334,-0.20982072,0.17224124,,-0.22235456,0.15842764,-0.19526935,0.18743925
169631334,-0.0094973035,-0.22250463,,-0.02418281,-0.23849678,0.003821753,-0.20139304
169731334,-0.029861204,-0.21050331,,-0.050661854,-0.2295432,-0.014952917,-0.17276697
169831334,0.07788394,-0.26909104,,0.055073313,-0.29734308,0.11793164,-0.24623272
169931334,0.06385457,-0.26902518,,0.0419866,-0.29750025,0.10263248,-0.24657884
170031334,-0.007822618,-0.27106363,,-0.021926245,-0.28822592,0.0062468275,-0.25478983
170131334,-0.015046427,-0.26092258,,-0.02870302,-0.2772822,-0.001258228,-0.24588355
170231334,-0.009773511,-0.25272894,,-0.023553321,-0.26966667,0.0042911116,-0.23735163
170331334,-0.17627677,-0.07782243,,-0.1897297,-0.09264482,-0.16173849,-0.06081567
170431334,-0.4385773,0.14363778,,-0.46082598,0.11092062,-0.37975883,0.16702752
170531334,-0.37545013,0.121644445,,-0.39160016,0.10567896,-0.35793722,0.13928162
170631334,-0.34542608,0.09651724,,-0.3607846,0.08082326,-0.3281253,0.11340682
170731334,0.033903874,-0.14755268,,0.014119295,-0.1657183,0.049179934,-0.1252368
170831334,0.15698709,-0.2252082,,0.13803415,-0.24465726,0.17527092,-0.20388563
170931334,0.14175469,-0.23129076,,0.11738221,-0.26071337,0.18116206,-0.20620401
171031334,0.081840724,-0.18796183,,0.056866646,-0.20801738,0.10075971,-0.16547714
171131334,0.07401118,-0.16159555,,0.05491475,-0.17868385,0.08907016,-0.1434595
171231334,0.09745669,-0.15800193,,0.06534931,-0.17992279,0.11577647,-0.13555722
171331334,-0.123188645,-0.4443229,,-0.13849923,-0.46503234,-0.105690725,-0.42349404
171431334,-0.11560185,-0.4239256,,-0.12956637,-0.44315195,-0.09828567,-0.40357333
171531334,-0.19647966,-0.09879417,,-0.21109192,-0.114923224,-0.1795977,-0.08174391
171631334,-0.24690902,0.0495803,,-0.2607659,0.035730705,-0.23214597,0.06499788
171731334,-0.26257437,0.07905821,,-0.2763964,0.06543204,-0.24740776,0.09537123
171831334,-0.23769426,0.08481147,,-0.25178078,0.071464226,-0.22281152,0.101524144
171931334,-0.2929185,0.09575426,,-0.307064,0.08151299,-0.2765033,0.11212744
172031334,-0.3130834,0.108415164,,-0.3279578,0.09311433,-0.29637846,0.1245462
172131334,-0.3274177,0.089186825,,-0.34204465,0.073980376,-0.31038114,0.10534376
172231334,-0.35972744,0.09204414,,-0.37531555,0.07563327,-0.3419574,0.1094574
172331334,-0.36518517,0.0854029,,-0.38048363,0.06920014,-0.34775546,0.10127571
172431334,-0.37283707,0.081839256,,-0.3890194,0.06455594,-0.35464993,0.098955825
172531334,-0.36385074,0.072964065,,-0.38010857,0.055550665,-0.34565803,0.09081568
172631334,-0.3483987,0.072296925,,-0.3641821,0.054647893,-0.33036053,0.08968674
172731334,-0.32193747,0.06741681,,-0.3368314,0.050981537,-0.30525854,0.08478613
172831334,-0.3110845,0.06461076,,-0.32515842,0.048694953,-0.29628065,0.081762865
172931334,-0.24946895,0.044745676,,-0.2641297,0.02966924,-0.23362985,0.061944082
173031334,-0.16466522,0.012973033,,-0.18039463,-0.0042311996,-0.14906126,0.029307812
173131334,-0.12224814,-0.035893597,,-0.13719834,-0.05289972,-0.10749414,-0.018483296
173231334,-0.49477667,-0.04881087,,-0.5106179,-0.06378235,-0.47636536,-0.02972965
173331334,-0.4166093,-0.025477603,,-0.4332379,-0.042537376,-0.3980198,-0.006856717
173431334,-0.50155544,-0.07221691,,-0.5544819,-0.10455045,-0.44974232,-0.04887127
173531334,-0.42184252,-0.07295249,,-0.4858754,-0.15158686,-0.2668228,-0.03545983
173631334,-0.406856,-0.0050484017,,-0.4546732,-0.09209775,-0.23408389,0.03626968
173731334,-0.33980924,-0.026346512,,-0.3705185,-0.07150165,-0.26697767,0.0017793253
173831334,-0.2851184,-0.036593832,,-0.30631027,-0.059238523,-0.26255733,-0.016024724
173931334,-0.40204084,-0.09642656,,-0.44942343,-0.17242292,-0.24548852,-0.059168898
174031334,-0.35436836,-0.094872415,,-0.416337,-0.18731289,-0.17017311,-0.049073003
174131334,-0.13001713,-0.020066574,,-0.14434607,-0.03667958,-0.11495098,-0.0037160665
174231334,-0.11793485,-0.019508652,,-0.13213132,-0.036125407,-0.10329888,-0.003989011
174331334,-0.13072966,-0.015042305,,-0.14602001,-0.033152357,-0.11453558,0.0020513684
174431334,-0.11914013,-0.04807859,,-0.13366869,-0.06595558,-0.1037463,-0.03184978
174531334,-0.13641798,-0.07135155,,-0.15219498,-0.09007852,-0.11975456,-0.053243816
174631334,-0.14095172,-0.08907193,,-0.15446891,-0.105079725,-0.12606996,-0.07381434
174731334,-0.1412581,-0.10135013,,-0.15478988,-0.1175819,-0.12636828,-0.085999355
174831334,-0.14557216,-0.10492483,,-0.15877898,-0.1204814,-0.13059735,-0.08982104
174931334,-0.13118395,-0.14439835,,-0.1820237,-0.17449486,-0.108243205,-0.11339285
175031334,0.072856545,-0.38158664,,-0.022010861,-0.4659652,0.13833214,-0.28802735
175131334,-0.082466364,-0.23603994,,-0.1030071,-0.25881273,-0.06072604,-0.20799841
175231334,-0.061327755,-0.3932051,,-0.079173565,-0.41746682,-0.04204879,-0.3566249
175331334,-0.042933363,-0.42011774,,-0.061099112,-0.4434185,-0.024617974,-0.39416945
175431334,-9.085704e-05,-0.57987696,,-0.018593634,-0.6010255,0.022867989,-0.5548037
175531334,-0.036933117,-0.58333725,,-0.054356173,-0.6030254,-0.015818126,-0.5572733
175631334,-0.04072667,-0.5846518,,-0.057707153,-0.60502696,-0.018774115,-0.55789715
175731334,-0.49449182,0.048074268,,-0.5537702,-0.03647726,-0.34881836,0.093389854
175831334,-0.64515394,0.17390072,,-0.6691791,0.13800876,-0.58285296,0.20100419
175931334,-0.6835834,0.14836577,,-0.7141965,0.104360715,-0.60303473,0.17845477
176031334,-0.69576114,0.19593751,,-0.72341317,0.1502239,-0.61584395,0.22599106
176131334,-0.68378204,0.20775598,,-0.713125,0.15730141,-0.59338945,0.23881082
176231334,-0.08766196,0.013964064,,-0.10281108,-0.0061754882,-0.0725714,0.02910754
176331334,0.5415557,-0.1559949,,0.3970911,-0.20965153,0.5807734,-0.09800945
176431334,0.44401243,-0.14277335,,0.23573573,-0.21490751,0.48882797,-0.06701642
176531334,0.40780693,-0.14183752,,0.28921646,-0.18747604,0.4375188,-0.09476641
176631334,0.23766789,-0.15109038,,0.2216173,-0.1682706,0.25122678,-0.13370639
176731334,0.29432398,-0.16765061,,0.13918269,-0.22619939,0.32750365,-0.1072721
176831334,0.19216618,-0.164672,,0.17547704,-0.1830997,0.20651743,-0.14814106
176931334,0.21436797,-0.19122076,,0.17896159,-0.21334055,0.23256922,-0.16904679
177031334,0.17578273,-0.21763313,,0.1327752,-0.2450037,0.19880784,-0.19077137
177131334,-0.052233398,-0.29328763,,-0.06609885,-0.30952185,-0.0378809,-0.27852708
177231334,-0.30737007,-0.11257982,,-0.3242588,-0.13102283,-0.2848902,-0.09574334
177331334,-0.26413316,-0.100814566,,-0.2851927,-0.12448269,-0.23336792,-0.08155096
177431334,-0.27230167,-0.089643784,,-0.29162398,-0.110594474,-0.24687234,-0.072012514
177531334,-0.32367057,-0.27040932,,-0.33788535,-0.2881027,-0.3047367,-0.25339782
177631334,-0.2994762,-0.38603738,,-0.3154512,-0.40415597,-0.28016332,-0.36532974
177731334,-0.27462482,-0.3622442,,-0.29170728,-0.38141453,-0.2557663,-0.3407323
177831334,-0.24864039,-0.1257195,,-0.2740664,-0.15120852,-0.21589819,-0.10512286
177931334,-0.2414473,-0.12005301,,-0.26630723,-0.14979947,-0.19809663,-0.09854584
178031334,-0.24267107,-0.115330525,,-0.26833355,-0.14642474,-0.19755572,-0.09312792
178131334,-0.23610461,-0.11246784,,-0.25715292,-0.13643543,-0.20626995,-0.09235347
178231334,-0.24431258,-0.04078255,,-0.2623459,-0.05840428,-0.22759101,-0.02195789
178331334,-0.23522791,-0.009670265,,-0.25575554,-0.03201504,-0.2135914,0.01124645
178431334,-0.19483875,-0.103125416,,-0.20942958,-0.12043335,-0.17963302,-0.08632544
178531334,-0.1818582,-0.3678164,,-0.1975982,-0.38789314,-0.16286927,-0.3457169
178631334,-0.18215236,-0.3498485,,-0.19672583,-0.36728126,-0.16446203,-0.32969403
178731334,-0.18161489,-0.3574789,,-0.19517942,-0.37479895,-0.16469762,-0.33840302
178831334,-0.3034984,-0.3681062,,-0.31955665,-0.38678104,-0.28447855,-0.34720695
178931334,-0.3078854,-0.3682123,,-0.32532132,-0.3880558,-0.28823382,-0.34569824
179031334,-0.29411864,-0.36390284,,-0.31205526,-0.38430822,-0.2739748,-0.34045815
179131334,-0.2823912,-0.35532874,,-0.30051044,-0.37572765,-0.26252088,-0.33166796
179231334,-0.26437998,-0.30599874,,-0.27832693,-0.32351255,-0.24704212,-0.28860426
179331334,-0.22026317,-0.043856554,,-0.23587449,-0.059271768,-0.20534235,-0.026432604
179431334,-0.21672106,-0.04348924,,-0.2342229,-0.06041845,-0.2009297,-0.025278956
179531334,-0.20975304,-0.04273037,,-0.22676627,-0.059420228,-0.19433892,-0.024428807
179631334,-0.20458151,0.0023979768,,-0.22173709,-0.014239773,-0.18922323,0.021176755
179731334,-0.20561261,0.006349735,,-0.22305681,-0.010956004,-0.1893312,0.025770038
179831334,-0.20406204,0.006228484,,-0.22014824,-0.009843081,-0.18872121,0.024225563
179931334,-0.015178081,-0.0077382326,,-0.02907792,-0.022879869,-0.0018523652,0.0092475265
180031334,0.5370032,-0.06933889,,0.5216861,-0.08380853,0.5520902,-0.053864922
180131334,0.52908564,-0.05876086,,0.5124334,-0.07246344,0.54388404,-0.042458177
180231334,0.53498566,-0.05589872,,0.5188004,-0.06898543,0.5493841,-0.03994736
180331334,0.08433479,0.023649834,,0.07066405,0.008438274,0.0989311,0.04148929
180431334,-0.17798604,0.044340022,,-0.19321947,0.028846845,-0.1640684,0.061438784
180531334,-0.17453252,0.04436519,,-0.18902059,0.029112145,-0.16110528,0.06101246
180631334,-0.17642108,0.041008063,,-0.19115996,0.025172263,-0.16246775,0.058137536
180731334,-0.17763434,0.036680304,,-0.19220404,0.021184012,-0.16377038,0.053060874
180831334,-0.18995026,0.028465591,,-0.20638913,0.011285603,-0.17469108,0.046570316
180931334,0.2960872,-0.34782147,,0.28028378,-0.36376494,0.31067002,-0.32831708
181031334,0.30032793,-0.3449154,,0.27152374,-0.36420333,0.31588736,-0.32185066
181131334,0.4126588,-0.33519167,,0.3965412,-0.35086823,0.42847133,-0.31700975
181231334,0.40254182,-0.33666018,,0.38641354,-0.3524998,0.41885096,-0.3185868
181331334,0.39644682,-0.2530324,,0.38278192,-0.26769823,0.41237405,-0.23699984
181431334,0.39040712,-0.26763675,,0.37620944,-0.2819932,0.4061363,-0.25091392
181531334,0.33059508,-0.2449232,,0.30492866,-0.2640318,0.3464577,-0.22502461
181631334,0.31750035,-0.2528186,,0.3024685,-0.26826692,0.33244827,-0.23553169
181731334,0.3701492,-0.25078872,,0.35579795,-0.2659374,0.38559765,-0.23394094
181831334,0.3722877,-0.2470353,,0.3581046,-0.26219434,0.38817737,-0.22989726
181931334,0.37661886,-0.24700326,,0.36252382,-0.26149887,0.39176694,-0.2301486
182031334,0.39882177,-0.24890691,,0.3844884,-0.2630899,0.41380593,-0.23316464
182131334,0.3983906,-0.24819937,,0.3844758,-0.26307458,0.41387865,-0.2328836
182231334,0.40170902,-0.2501614,,0.38691902,-0.265082,0.41685173,-0.2333689
182331334,0.3465986,-0.25192985,,0.3327373,-0.26683956,0.36207518,-0.23448607
182431334,0.34554976,-0.25547674,,0.3308463,-0.27091396,0.36083534,-0.2380031
182531334,0.34978557,-0.25953177,,0.33548784,-0.27486616,0.36517915,-0.24167205
182631334,0.3083748,-0.265528,,0.29343262,-0.2820021,0.3232542,-0.24728273
182731334,0.30556738,-0.27574116,,0.28916258,-0.2918751,0.32128254,-0.25711334
182831334,0.3062098,-0.2734185,,0.29130128,-0.28879297,0.32147786,-0.25589347
182931334,0.29349688,-0.27585542,,0.277466,-0.29110354,0.30865157,-0.25770232
183031334,0.3053484,-0.26593426,,0.2906654,-0.28183812,0.31987834,-0.24995467
